playerID,yearID,stint,teamID,lgID,G,AB,R,H,X2B,X3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,nameGiven,masterID
adamsgl01,1980,1,MIN,AL,99,262,32,75,11,2,6,38,2,4,15,26,1,0,6,4,11,Glenn Charles,adamsgl01-1980-MIN
aikenwi01,1980,1,KCA,AL,151,543,70,151,24,0,20,98,1,0,64,88,3,7,0,9,23,Willie Mays,aikenwi01-1980-KCA
aingeda01,1980,1,TOR,AL,38,111,11,27,6,1,0,4,3,0,2,29,0,1,1,0,3,Daniel Ray,aingeda01-1980-TOR
alexado01,1980,1,ATL,NL,35,83,7,15,3,0,0,3,0,0,3,24,0,0,3,0,1,Doyle Lafayette,alexado01-1980-ATL
alexaga01,1980,1,CLE,AL,76,178,22,40,7,1,5,31,0,4,17,52,1,0,0,3,9,Gary Wayne,alexaga01-1980-CLE
allenga01,1980,1,BOS,AL,36,70,9,25,6,0,0,10,2,2,13,11,0,0,1,1,1,Gary Martin,allenga01-1980-BOS
allenki01,1980,1,SEA,AL,23,51,9,12,3,0,0,3,10,3,8,3,2,1,2,0,1,Kim Bryant,allenki01-1980-SEA
almonbi01,1980,2,NYN,NL,48,112,13,19,3,2,0,4,2,0,8,27,1,0,0,0,0,William Francis,almonbi01-1980-NYN
alstode01,1980,1,CLE,AL,52,54,11,12,1,2,0,9,2,4,5,7,2,2,1,2,1,Wendell,alstode01-1980-CLE
anderji01,1980,1,SEA,AL,116,317,46,72,7,0,8,30,2,4,27,39,1,3,6,2,5,James Lea,anderji01-1980-SEA
armasto01,1980,1,OAK,AL,158,628,87,175,18,8,35,109,5,3,29,128,4,2,2,5,22,Antonio Rafael,armasto01-1980-OAK
ashbyal01,1980,1,HOU,NL,116,352,30,90,19,2,3,48,0,0,35,40,12,0,2,5,11,Alan Dean,ashbyal01-1980-HOU
asselbr01,1980,1,ATL,NL,87,218,18,62,13,1,3,25,1,3,11,37,3,1,2,3,9,Brian Hanly,asselbr01-1980-ATL
aultdo01,1980,1,TOR,AL,64,144,12,28,5,1,3,15,0,1,14,23,0,2,0,1,3,Douglas Reagan,aultdo01-1980-TOR
avilera01,1980,1,PHI,NL,51,101,12,28,6,0,2,9,0,0,10,9,2,0,2,2,3,Ramon Antonio,avilera01-1980-PHI
ayalabe01,1980,1,BAL,AL,76,170,28,45,8,1,10,33,0,0,19,21,3,0,0,2,4,Benigno,ayalabe01-1980-BAL
backmwa01,1980,1,NYN,NL,27,93,12,30,1,1,0,9,2,3,11,14,1,1,4,1,3,Walter Wayne,backmwa01-1980-NYN
bailobo01,1980,1,TOR,AL,117,347,44,82,14,2,1,16,12,8,36,33,3,2,2,1,5,Robert Michael,bailobo01-1980-TOR
baineha01,1980,1,CHA,AL,141,491,55,125,23,6,13,49,2,4,19,65,7,1,2,5,15,Harold Douglas,baineha01-1980-CHA
bakerdu01,1980,1,LAN,NL,153,579,80,170,26,4,29,97,12,10,43,66,4,3,1,12,11,Johnnie B.,bakerdu01-1980-LAN
bandosa01,1980,1,ML4,AL,78,254,28,50,12,1,5,31,5,3,29,35,2,1,3,4,7,Salvatore Leonard,bandosa01-1980-ML4
bannial01,1980,1,CHA,AL,45,130,16,25,6,0,0,9,5,2,12,16,5,0,3,1,3,Alan,bannial01-1980-CHA
bannial01,1980,2,CLE,AL,81,262,41,86,17,4,1,32,9,2,28,25,1,0,3,4,6,Alan,bannial01-1980-CLE
baylodo01,1980,1,CAL,AL,90,340,39,85,12,2,5,51,6,6,24,32,4,11,0,5,9,Don Edward,baylodo01-1980-CAL
belanma01,1980,1,BAL,AL,113,268,37,61,7,3,0,22,6,3,12,25,0,0,11,0,1,Mark Henry,belanma01-1980-BAL
bellbu01,1980,1,TEX,AL,129,490,76,161,24,4,17,83,3,1,40,39,11,0,4,0,16,David Gus,bellbu01-1980-TEX
bellke01,1980,1,CHA,AL,92,191,16,34,5,2,1,11,0,0,29,37,1,0,2,2,3,Kevin Robert,bellke01-1980-CHA
benchjo01,1980,1,CIN,NL,114,360,52,90,12,0,24,68,4,2,41,64,2,2,0,4,9,Johnny Lee,benchjo01-1980-CIN
benedbr01,1980,1,ATL,NL,120,359,18,91,14,1,2,34,3,3,28,36,8,1,13,1,11,Bruce Edwin,benedbr01-1980-ATL
beniqju01,1980,1,SEA,AL,70,237,26,54,10,0,6,21,2,3,17,25,0,0,3,1,10,Juan Jose,beniqju01-1980-SEA
